City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Calbuco,-41.77,-73.13,53.6,66,90,9.17
Cururupu,-1.83,-44.87,77.27,82,11,3.69
Vercelli,45.32,8.42,52.32,91,0,0.94
Balaipungut,1.05,101.28,73.4,100,40,2.01
Mirny,62.54,113.96,23.0,85,75,4.47
Söderhamn,61.3,17.06,35.01,97,91,1.99
Luján,-34.57,-59.1,72.12,84,33,3.0
Laas,46.62,10.7,46.13,86,5,3.36
Atasū,48.68,71.64,31.12,78,90,13.47
Yangi Marg`ilon,40.43,71.72,44.6,56,100,6.93
Kitimat,54.05,-128.65,39.99,44,0,1.01
Monrovia,6.3,-10.8,78.8,94,20,4.72
Manggar,-2.88,108.27,77.92,83,100,4.27
Keningau,5.34,116.16,75.09,94,20,4.7
Atambua,-9.11,124.89,76.75,83,14,1.68
São Filipe,14.9,-24.5,81.55,73,96,10.71
Sonoita,31.85,-112.83,88.0,23,100,11.36
Manakara,-22.13,48.02,68.67,86,8,5.19
Zabid,14.2,43.32,84.92,59,5,4.52
Caravelas,-17.71,-39.25,75.31,85,77,8.1
Vanderhoof,54.02,-124.02,27.52,84,1,2.42
Inongo,-1.95,18.27,72.1,95,100,3.71
Itarema,-2.92,-39.92,79.81,79,0,15.46
Valdivia,-39.81,-73.25,53.6,81,75,9.17
Namatanai,-3.67,152.43,82.98,73,23,2.62
Moroni,-11.7,43.26,76.93,74,4,2.86
Taltal,-25.4,-70.48,60.78,67,25,6.29
Khani,41.96,42.96,48.2,93,0,6.93
Necochea,-38.55,-58.74,59.86,94,23,11.3
St. George's,12.06,-61.75,86.0,74,29,18.34
Price,39.6,-110.81,60.8,19,1,9.17
Kondopoga,62.21,34.26,35.6,92,94,8.95
Tuy Hoa,13.08,109.3,72.91,85,86,3.11
Itārsi,22.62,77.75,69.76,61,3,0.72
Lensk,60.73,114.93,27.75,97,96,2.19
Sioux Lookout,50.1,-91.92,28.4,58,75,3.36
Luwuk,-0.95,122.79,78.6,74,100,1.48
Dalvik,65.97,-18.53,42.8,70,90,21.92
Yamada,39.47,141.95,51.35,72,67,10.45
Zenzeli,45.92,47.05,53.26,86,80,3.76
Paragominas,-2.97,-47.48,86.43,49,98,2.98
Broken Hill,-31.95,141.43,46.4,81,90,13.87
Marathon,44.9,-89.77,31.35,96,1,8.05
Genhe,50.78,121.52,24.26,95,0,2.59
Senanga,-16.12,23.27,74.52,22,76,7.31
Kismayo,-0.36,42.55,79.45,84,93,11.72
Lokachi,50.74,24.65,48.0,98,0,11.99
Puerto Ayacucho,5.66,-67.62,80.15,81,74,1.77
Tomatlán,19.93,-105.25,87.4,73,27,9.24
